id,dut,categories,test,description,inputs,result,messages
1,dcapetz-DC-LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49/1 - Remote: dcapetz-DC-SPINE1 Ethernet1/1,PASS,
2,dcapetz-DC-LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50/1 - Remote: dcapetz-DC-SPINE2 Ethernet1/1,PASS,
3,dcapetz-DC-LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet55/1 - Remote: dcapetz-DC-LEAF2 Ethernet55/1,PASS,
4,dcapetz-DC-LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet56/1 - Remote: dcapetz-DC-LEAF2 Ethernet56/1,PASS,
5,dcapetz-DC-LEAF1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
6,dcapetz-DC-LEAF1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
7,dcapetz-DC-LEAF1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
8,dcapetz-DC-LEAF1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
9,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - SERVER_DC-HOST1_eth1 = 'up',PASS,
10,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49/1 - L2_dcapetz-DC-SPINE1_Ethernet1/1 = 'up',PASS,
11,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50/1 - L2_dcapetz-DC-SPINE2_Ethernet1/1 = 'up',PASS,
12,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet55/1 - MLAG_dcapetz-DC-LEAF2_Ethernet55/1 = 'up',PASS,
13,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet56/1 - MLAG_dcapetz-DC-LEAF2_Ethernet56/1 = 'up',PASS,
14,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback255 - Dummy Loopback for CV Flow Tracking = 'up',PASS,
15,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1 - SERVER_DC-HOST1 = 'up',FAIL,The following interface(s) are not in the expected state: ['Port-Channel1 is down/lowerLayerDown']
16,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel491 - L2_SPINES_Port-Channel11 = 'up',PASS,
17,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel551 - MLAG_dcapetz-DC-LEAF2_Port-Channel551 = 'up',PASS,
18,dcapetz-DC-LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG = 'up',PASS,
19,dcapetz-DC-LEAF1,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
20,dcapetz-DC-LEAF1,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
21,dcapetz-DC-LEAF1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
22,dcapetz-DC-LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49/1 - Remote: dcapetz-DC-SPINE1 Ethernet2/1,PASS,
23,dcapetz-DC-LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50/1 - Remote: dcapetz-DC-SPINE2 Ethernet2/1,PASS,
24,dcapetz-DC-LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet55/1 - Remote: dcapetz-DC-LEAF1 Ethernet55/1,PASS,
25,dcapetz-DC-LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet56/1 - Remote: dcapetz-DC-LEAF1 Ethernet56/1,PASS,
26,dcapetz-DC-LEAF2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
27,dcapetz-DC-LEAF2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
28,dcapetz-DC-LEAF2,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
29,dcapetz-DC-LEAF2,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
30,dcapetz-DC-LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - SERVER_DC-HOST1_eth2 = 'up',PASS,
31,dcapetz-DC-LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49/1 - L2_dcapetz-DC-SPINE1_Ethernet2/1 = 'up',PASS,
32,dcapetz-DC-LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50/1 - L2_dcapetz-DC-SPINE2_Ethernet2/1 = 'up',PASS,
33,dcapetz-DC-LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet55/1 - MLAG_dcapetz-DC-LEAF1_Ethernet55/1 = 'up',PASS,
34,dcapetz-DC-LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet56/1 - MLAG_dcapetz-DC-LEAF1_Ethernet56/1 = 'up',PASS,
